Unigrams,Freq
dirilerin,2
arasında,217
sonsuzluğu,18
ufuklar,7
yarattığım,1
dünyaların,5
daraldım,3
başlangıç,10
bitiş,3
aydınlığı,14
bulutlar,111
yıldızlara,68
doğru,218
varanlar,1
duranlar,2
saçların,71
uçuşurdu,2
rüzgârdan,5
yanından,31
seyrederdim,8
güneş,321
yakardı,6
yanardı,9
konuşurdun,4
dinlerdim,2
gülerdin,5
susardın,2
düşünürdün,1
benimle,71
ele,37
yürürdün,1
biterdi,6
görmezdim,2
geçerdi,15
uzaktan,60
uzaklardan,38
mum,42
yanıyordu,9
odasında,12
evde,41
kedi,74
geceler,107
indiğinde,2
havasında,5
yanar,46
oynardı,7
mumun,9
yandığı,3
gecelerden,15
birinde,26
oyunlarına,4
daldı,14
oyun,50
arayan,45
alevi,17
yandı,51
baktı,46
titrek,25
alevinde,9
oyuna,6
çağıran,19
oyunlarını,3
büyüten,8
büyüdü,30
türünde,2
çocukcasına,1
döndü,38
dolaştı,6
yavaş,96
yürüdü,15
yanına,67
oyuncakcasına,1
alevinin,1
dalgalanmasına,1
uzandı,11
attı,15
bıyıklarını,2
yaktırmadan,1
anlamayacaktı,1
i̇lk,85
gördüğü,9
yakmasına,1
i̇nanmayacaktı,1
oyunlarında,2
büyüyordu,5
üşüyordu,4
yanmalarında,3
yürüyordu,8
ayrışım,1
görünüyordu,2
birinin,39
öbürünün,2
oynamalarında,1
yitirerek,2
gitgide,14
küçülüyordu,1
yakmalarını,1
oynarken,7
büyüyen,46
yanacak,12
aydınlatırken,4
küçülen,5
yakacaktı,1
yaka,2
aydınlatacak,2
anlayacaktı,1
yanmasından,1
oyunundan,1
kaldı,246
sonunda,76
göze,61
susan,6
bitti,91
oyunlar,4
karıştı,17
uykusuzluklara,1
insandan,5
anılarında,5
dalmalarında,1
yansa,10
oynasa,1
birbirine,78
yansıyor,4
karışıyor,13
gölgeleri,24
oluyor,100
ellerimi,65
tırmalıyor,3
belleğimi,2
yakıyor,17
kedinin,10
elleri,92
ilkyaz,7
ol,155
korkut,1
yaprakları,48
öylel,1
yaz,220
tut,72
dökülürken,13
güz,110
rüzgârlarında,3
savrulsunlar,1
unut,36
sevinçlerinde,3
hüzünlerinde,4
seninle,213
yeşerdiler,2
soldular,1
olsunlar,7
umut,176
dinletim,1
verin,22
deyim,4
çıkarayım,1
duyuru,1
sesi,284
solukta,5
dinleyin,8
sizin,89
artakalan,6
dünyanın,148
ordusu,1
kişidir,2
kalabalık,34
kenti,19
beri,70
onların,64
bitmez,42
savaşı,12
evden,32
eve,53
taşınır,4
vurdun,7
acısı,30
geçmedi,7
biliyorum,182
konuştun,1
gittikçe,39
gerçek,102
delisin,2
gitmesem,3
bekler,55
orada,142
gelirsem,5
bilmelisin,13
beklememdir,1
gitmek,56
denizin,144
delisine,1
delinin,6
giderse,11
renkler,24
aynı,239
hızla,38
kirleniyordu,1
birinciliği,1
beyaza,12
verdiler,12
akşamlarını,3
akşamların,11
çiçekleri,83
aydınlatır,4
adlarını,4
birbirlerine,12
benzemezlikleri,1
adlandırır,1
alır,78
güneşi,131
öbürüne,3
yıldız,169
sunar,6
öbürünü,3
yağmurlandırır,1
başkası,21
güzelliği,21
akıl,32
almaz,14
çalımıyla,1
karanlıklandırır,1
düğünü,1
aklandırır,1
silerken,4
ölümü,78
anılandırır,1
sabahları,36
gündüz,43
çıldırır,3
akşamlandırır,1
bağlar,24
bahçeler,18
nazlı,45
doğurur,11
bayırlarda,2
kayalıkları,1
ayaklandırır,1
pencereden,32
sürdürmez,1
kimseye,50
ağaçlandırır,1
tırmanır,7
ermez,2
dikliklere,1
yaslar,1
topraklandırır,1
ordusunu,3
yayar,3
birdenbire,58
tarlalara,1
öbek,6
kanlandırır,1
şarkılarla,12
besler,4
yeşillikleri,3
sevgilileri,2
umutlandırır,1
çiçekler,98
gibidir,63
oysa,254
beklemezler,1
arılandırır,1
kuşlandırır,1
rüzgârlandırır,1
gönülleri,6
kızdırır,2
soğumuş,6
külleri,11
kucaklandırır,1
yürür,33
yazgısında,2
sepetlerde,1
demet,30
ününü,1
kaldırımlandırır,1
vazolandırır,1
salonlarda,1
kurur,2
kitabın,14
kafes,7
arkasında,33
saksılandırır,1
şölen,4
renklerin,15
orkestrası,1
dursuz,1
duraksız,2
çalar,30
insanda,4
sevinci,33
aldanıyı,1
yası,5
gözü,66
kördür,3
sağır,22
ondandır,9
tökezleyerek,2
öbürü,9
bağırır,6
mutluluk,75
yüzden,152
tutukluğunda,1
özgür,26
dönsün,6
alışır,5
kendisine,34
